sample, trial, dist
1, TRUE, 684
1, TRUE, 370
1, TRUE, 1874
1, TRUE, 961
1, TRUE, 272
2, TRUE, 1445
2, TRUE, 1942
2, TRUE, 372
2, TRUE, 413
2, TRUE, 237
3, TRUE, 622
3, TRUE, 1640
3, TRUE, 393
3, TRUE, 723
3, TRUE, 957
4, TRUE, 1038
4, TRUE, 828
4, TRUE, 2606
4, TRUE, 244
4, TRUE, 571
5, TRUE, 214
5, TRUE, 1845
5, TRUE, 760
5, TRUE, 595
5, TRUE, 366
6, TRUE, 529
6, TRUE, 637
6, TRUE, 1533
6, TRUE, 705
6, TRUE, 447
7, TRUE, 2228
7, TRUE, 1456
7, TRUE, 249
7, TRUE, 337
7, TRUE, 767
8, TRUE, 1395
8, TRUE, 327
8, TRUE, 288
8, TRUE, 795
8, TRUE, 164
9, TRUE, 1681
9, TRUE, 219
9, TRUE, 1546
9, TRUE, 222
9, TRUE, 339
10, TRUE, 198
10, TRUE, 805
10, TRUE, 769
10, TRUE, 3007
10, TRUE, 788
11, FALSE, 373
11, FALSE, 695
11, FALSE, 735
11, FALSE, 344
11, FALSE, 620
12, FALSE, 440
12, FALSE, 431
12, FALSE, 349
12, FALSE, 462
12, FALSE, 474
13, FALSE, 372
13, FALSE, 508
13, FALSE, 527
13, FALSE, 944
13, FALSE, 335
14, FALSE, 415
14, FALSE, 643
14, FALSE, 547
14, FALSE, 622
14, FALSE, 370
15, FALSE, 568
15, FALSE, 377
15, FALSE, 482
15, FALSE, 362
15, FALSE, 336
16, FALSE, 1130
16, FALSE, 453
16, FALSE, 988
16, FALSE, 501
16, FALSE, 349
17, FALSE, 499
17, FALSE, 949
17, FALSE, 329
17, FALSE, 481
17, FALSE, 524
18, FALSE, 413
18, FALSE, 431
18, FALSE, 389
18, FALSE, 395
18, FALSE, 541
19, FALSE, 368
19, FALSE, 589
19, FALSE, 748
19, FALSE, 563
19, FALSE, 367
20, FALSE, 328
20, FALSE, 386
20, FALSE, 571
20, FALSE, 481
20, FALSE, 348
